RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
394913,1,"New York, NY",msa,NY,400000,395480,400000,400000,405000,418875,420000,400000,385000,376300,374000,397695.9091,365650,365000,355000,352000,358250,360000,375000,377500,370000,360000,366500,359000,363658.3333,365000,370000,350000,360000,370000,372000,390000,399000,,,,365000,371222.2222,365000,375000,355000,360000,368000,370000,385000,380000,375000,350000,340000,340000,363583.3333,340000,335000,342000,345000,359960,371000,375000,369000,360000,350000,347000,345000,353246.6667,344170,331050,332500,337450,356000,375000,382485,385000,366120,355000,349000,350000,355314.5833,359000,350000,347000,350000,359000,376500,384000,389000,365000,355000,357000,360000,362625,365000,352500,355000,355000,370900,387250,390000,392000,379000,365000,365000,369000,370470.8333,365000,365000,359000,363750,375000,395000,399900,395000,382873,375000,375000,370000,376710.25,380000,370000,370000,383000,389000,410000,420000,413200,395000,385000,387500,384000,390558.3333,390000,380000,394950,395000,400000,420000,425000,420000,402900,395000,399250,390000,401008.3333,390000,395000,389000,395000,403000,425000,425000,425000,410000,407000,408000,410000,406833.3333,415000,410000,415000,425000,425000,435000,439000,450000,457000,460000,470000,465000,438833.3333,469000,470500,470000,485000,490000,515000,525000,525000,519000,510000,505000,506000,499125,510000,508000,515000,540000,550000,565000,573400,565000,540000,525000,520000,510000,535116.6667,520000,505000,515000,539000,565000,585000,600000,610000
753899,2,"Los Angeles, CA",msa,CA,500000,495000,500000,490000,481000,470000,450000,438000,435000,405000,410000,461272.7273,386000,400000,394000,390000,406000,420000,413000,405000,418000,400000,399500,397750,402437.5,387000,380000,395000,390500,405000,395000,400000,395000,400000,380000,387000,385000,391625,370000,375000,385000,380000,385000,390000,390000,375000,380000,360000,360000,355000,375416.6667,345000,350000,368000,375000,378000,385000,390000,387500,386000,387500,390000,401750,378645.8333,390000,400000,432000,460000,460000,475000,470000,470000,466000,460000,460000,470000,451083.3333,450000,469500,480000,485000,500000,499000,505000,510000,499000,495000,490000,490000,489375,490000,500000,510000,521500,520000,531000,527750,526000,519000,512500,520000,525000,516895.8333,520000,525000,538000,550000,563000,561300,556500,560000,550000,559000,555000,548500,548858.3333,550000,552750,570000,581500,595000,600000,605000,600000,600000,590000,605000,598000,587270.8333,590000,615000,620000,625000,640000,648000,640000,640000,625000,625000,627000,610000,625416.6667,601000,615000,630000,640000,640000,648000,660000,640000,645000,642250,640000,650000,637604.1667,649000,650000,670000,655000,650000,675000,707500,720000,730000,730000,725000,720000,690125,720000,747000,770000,800000,815000,825000,820000,825000,821000,825000,825000,840000,802750,830000,855000,895000,922500,918000,900000,875000,865000,850000,840000,830000,810000,865875,815000,825000,841000,850000,868000,900000,895000,900000
394463,3,"Chicago, IL",msa,IL,227500,235000,230000,235000,245000,245000,240000,223000,225000,215000,207500,229818.1818,202750,206000,212000,210000,215000,220000,220000,216000,210000,199000,193000,195000,208229.1667,200000,185000,200000,200000,200000,215000,210000,220000,190000,193000,190000,185000,199000,185000,183000,179900,185000,190000,200000,199000,195000,174500,165000,162000,160000,181533.3333,155000,152500,167500,179000,185500,200000,191750,185000,177500,162750,168900,165000,174200,157000,153700,171500,186000,192500,215000,215000,206500,193500,185000,180299,185000,186749.9167,178000,170000,187000,200000,212750,229000,220000,218500,202000,195000,189000,188500,199145.8333,186200,185000,207500,212000,222000,230000,224500,218000,209000,200000,199000,196000,207433.3333,190000,187000,205000,224000,227000,233000,226000,220000,207000,207000,204250,205000,211270.8333,205000,201000,220000,233500,235000,244000,236000,227500,220000,215000,215000,215000,222250,216000,221500,230000,240000,241000,250000,240000,230000,225000,220000,222500,216000,229333.3333,217000,222000,234500,240000,245000,250000,245000,240000,229900,229000,229900,225000,233941.6667,222500,225000,248000,256000,249000,252000,264250,269000,260000,260000,255000,252500,251104.1667,250000,250000,270000,282000,290000,295000,288000,282000,275000,272500,274900,270000,274950,266000,270000,284000,303500,308000,320000,304000,295000,285000,275000,275000,270000,287958.3333,265000,272000,290000,300000,310000,326050,319700,320000
394514,4,"Dallas, TX",msa,TX,137000,146680,144000,149900,155000,153500,149999,140000,140000,133900,134500,144043.5455,127000,137500,136000,139910,150000,155000,153000,150000,143000,140000,138275,138000,142307.0833,130000,139900,145000,148000,150000,152000,155000,153000,140543,140000,140000,145000,144870.25,136250,139900,138650,142000,149000,151465,151500,151350,143500,140000,137000,142750,143613.75,136500,142000,152500,154900,162000,165000,163000,160000,158000,152000,153500,155453,154571.0833,145800,155000,165000,173000,179900,182000,183000,178000,172500,170000,167000,170000,170100,160000,170000,178000,180000,186000,195000,192000,189900,182000,180000,182000,187000,181825,180000,185000,195000,202425,212338,216314,210000,209000,198500,199000,197500,200850,200493.9167,194500,205000,214150,218125,230000,236500,227000,228000,223000,222500,226500,227000,221022.9167,223190,230250,238000,245000,251000,252000,249000,250000,240000,240000,241800,245000,242103.3333,235000,249950,258000,259900,269000,272500,265000,259900,250000,249900,249000,252000,255845.8333,240000,249900,260000,263000,275000,275000,270000,270000,262000,263000,259925,265000,262735.4167,260000,265000,273000,280000,272000,285000,295000,295000,295000,299900,297000,296000,284408.3333,289518,310000,320000,330000,350000,355000,355000,350131,350000,352000,355000,360000,339720.75,355459,371000,387650,415700,425000,420000,410000,399000,387500,385000,375000,360000,390942.4167,355000,372000,374700,385000,395000,405000,400000,395000
394692,5,"Houston, TX",msa,TX,143500,143250,143900,149000,155000,153000,152000,149900,132400,128263,131250,143769.3636,124000,130000,139865,144200,150000,159700,157000,156000,150000,140000,143000,140000,144480.4167,137250,140400,147500,146000,147000,151000,151050,150000,147550,141119,144000,149900,146064.0833,130000,145000,139900,144000,150000,155000,150253,150000,145000,144000,142000,147000,145179.4167,129701,135000,150000,152000,159500,163000,161000,153000,151500,151500,155000,154600,151316.75,140000,151590,160000,169500,173000,182350,177500,176000,171000,166000,167000,170000,166995,164850,168000,171000,179000,184000,186188,190000,191000,183000,179900,180750,190000,180640.6667,178200,183000,192125,194000,205500,207000,205000,200000,190000,189000,184359,193500,193473.6667,187000,188000,193750,201000,210000,215000,215000,210000,204100,200000,205000,207500,203029.1667,195250,200000,213000,214000,222000,225000,218000,219950,217500,210000,210000,210000,212891.6667,203000,213000,219999,228000,230000,232000,230250,225000,219000,219900,218400,220440,221582.4167,212000,218000,228000,232750,240000,242750,237015,236000,230000,225000,225950,236000,230288.75,222250,230000,237500,239000,235000,250000,262500,259000,254900,257000,261500,264000,247720.8333,253000,269000,285000,289950,300000,308000,300000,300000,293000,296250,305000,308000,292266.6667,299000,315900,318000,335000,345000,347000,338750,325000,325000,313000,310000,309000,323387.5,299900,307000,315000,320000,330000,335000,335000,330000
395209,6,"Washington, DC",msa,VA,353000,350000,358000,365000,370000,368325,350000,320000,312000,300950,300000,340661.3636,300000,290000,300000,300000,315000,325000,331000,320000,301600,293125,290500,288000,304518.75,275000,285000,284000,310000,310000,319900,343250,315000,315000,320000,324950,316250,309862.5,291500,300000,310000,325000,341620,350000,348000,335000,310000,305000,310000,295000,318426.6667,292950,290000,320000,336000,355000,365000,350000,345000,330000,320000,331000,325000,329995.8333,315100,320000,340000,360000,375000,388316,379530,370000,347000,345000,349000,347500,353037.1667,337500,339000,350500,369900,385000,390000,381350,370500,350000,357000,353000,360000,361979.1667,344000,354500,364900,379700,390000,388000,376000,366100,354450,355000,359900,348347,365074.75,349999,349000,359000,375000,389000,390000,380000,375000,355000,356000,360000,360000,366499.9167,350000,350000,365000,389900,399990,403000,395000,385000,364000,365000,375000,375000,376407.5,363000,370000,389900,403000,410000,415000,400000,399000,375000,380000,380000,387500,389366.6667,375000,377750,393500,410539,415000,422525,415000,405000,385000,399000,400000,400000,399859.5,384900,399999,425000,435000,434950,434000,452750,449900,439990,440000,435000,430000,430124.0833,418444,420000,450000,472500,489500,495000,485000,470000,460000,469000,460000,455000,462037,435000,456173,499126,530000,540000,530000,511000,500000,475000,484500,475000,457000,491066.5833,448500,480000,495300,529000,550000,550000,540000,529900
394974,7,"Philadelphia, PA",msa,PA,205000,211400,210000,222000,229000,230500,232500,216000,210000,205000,200000,215581.8182,196000,196250,200000,203000,215000,225000,221000,219000,209000,200000,200000,200000,207020.8333,210000,200964,204000,209900,209950,227500,227000,225000,215000,206000,205950,205000,212188.6667,204600,199000,195000,199945,206000,225000,219900,217500,203500,199000,195000,195000,204953.75,195000,185000,190000,200000,215000,225000,224375,220000,209000,200000,206000,205000,206197.9167,194000,187500,200500,205000,219250,235000,235000,230000,210000,205000,202125,203250,210552.0833,200000,190000,197500,205000,217500,233125,231860,225000,212799,207500,211410,205000,211391.1667,203000,190000,203000,207000,220000,234000,229250,225000,217500,212500,205000,202000,212354.1667,200000,195000,200000,212000,225000,239000,235000,230000,221000,217900,216000,217250,217345.8333,205000,200967,214900,224900,232000,248000,242000,234000,223000,220000,222000,222000,224063.9167,214900,212000,225000,225000,235000,249000,245000,242000,233000,224900,230000,225000,230066.6667,220000,220000,232725,235000,245000,262000,260000,257945,240000,237500,245000,239900,241255.8333,239000,235000,250000,268000,257500,265000,280000,282500,277000,270000,272475,270000,263872.9167,265000,260000,269000,279900,287639,310000,310000,310000,291750,289000,291900,285000,287432.4167,283000,275000,290000,307000,325000,343000,335000,330000,320000,313900,315000,309000,312158.3333,300000,300000,315000,318000,335000,360000,359900,355000
394856,8,"Miami, FL",msa,FL,245000,240000,245000,243500,252275,250000,240000,220000,219900,210000,200000,233243.1818,182000,182000,175000,165000,175000,190000,185000,180000,175000,166000,163000,169000,175583.3333,152000,155000,160000,155000,162000,165000,160000,160000,155000,150750,150000,150000,156229.1667,137500,140000,133000,145000,155000,155000,150000,150000,140000,140000,141000,142000,144041.6667,139900,140000,140000,150000,158000,165000,161456,160000,160000,160000,165000,168000,155613,157000,160000,170000,178000,186000,199900,200000,200000,193370,185050,190000,198000,184776.6667,187500,185000,200000,199000,220000,230000,225000,215000,215000,215000,215000,220000,210541.6667,214500,219125,222000,222500,236700,240000,237000,235000,227500,224000,227750,230000,228006.25,224000,229000,230000,235000,243000,250000,245000,245000,247500,240000,239900,245000,239450,240450,240000,249000,250000,258000,272000,260500,265000,255500,250000,257000,263000,255037.5,255000,257000,265000,265000,270000,280000,270000,270000,268250,270000,273000,270000,267770.8333,263000,267000,278000,276000,280000,290000,289000,285000,282000,287500,287900,285000,280866.6667,282500,290000,300000,305000,305000,310000,320000,325000,320000,325000,325000,327000,311208.3333,330000,335000,335000,350000,350000,360000,360000,359000,355000,360000,367850,375000,353070.8333,375000,387500,400000,400000,425000,429900,416500,415000,410000,415000,410000,400000,406991.6667,415000,425000,435000,448000,455000,464500,458000,457000
394347,9,"Atlanta, GA",msa,GA,169000,172900,175000,179900,182950,175650,169500,158000,157372,144650,149850,166797.4545,145950,144900,149000,145500,152000,160000,163000,155000,149450,150000,147000,137600,149950,133575,133900,135000,149000,148000,141900,142000,132000,127090,122000,125000,129250,134892.9167,125000,117950,118500,120000,125000,129000,130000,137750,130000,128000,127727,120000,125743.9167,118800,123000,135000,149900,155700,159358,160000,149000,143000,139500,140705,149000,143580.25,136000,150000,166000,170000,185000,188000,189900,178900,167500,165000,160000,167000,168608.3333,160000,160000,175000,184500,190175,197250,193000,182054,175000,170000,172000,175000,177831.5833,169000,175000,185000,190000,205000,203000,200000,189900,185000,180000,182500,188500,187741.6667,178750,181000,190000,200000,207625,207000,207900,195000,185900,187500,190000,189000,193306.25,186000,189100,200000,209870,211105,218000,217000,210000,205000,208000,206875,212000,206079.1667,209900,215000,224900,232000,237500,239000,233000,225000,228000,226000,222000,224000,226358.3333,220000,221900,237000,240000,250000,255000,251000,244000,242000,239900,242000,245000,240650,236000,246000,259000,265000,253000,264000,274900,276000,275000,279000,276000,275250,264929.1667,275000,284000,300000,313650,323000,334150,335000,325000,328050,338000,340000,340000,319654.1667,335000,345000,358650,375000,390000,390000,383000,370000,360000,355500,350000,348500,363387.5,335000,348800,359900,369000,375000,390000,385000,380000
394404,10,"Boston, MA",msa,MA,310000,328000,329900,344360,359900,350000,350000,315000,310000,310000,300000,327923.6364,304500,298700,286000,302000,310250,329000,330000,330000,310000,294000,292250,318000,308725,315000,297625,307500,313250,320000,355000,362000,353000,320000,314625,325000,310000,324416.6667,310000,290000,305250,317500,332500,350000,354250,345000,326375,295000,312000,300000,319822.9167,295000,282000,305000,317500,331500,369694,350000,339000,315000,312000,325000,319000,321724.5,303000,302500,310000,335000,345000,372000,366500,365000,340000,334000,332000,338000,336916.6667,345000,319000,335000,340000,360000,385000,380000,375000,345000,340000,347500,352000,351958.3333,355000,335000,340000,359950,375000,395000,395000,395000,356000,350000,366000,360000,365162.5,360000,335000,353950,375000,390000,415000,410000,400000,380000,368975,388000,380000,379660.4167,382767,369000,389900,395000,414850,435000,430000,420000,400000,400000,417000,414000,405626.4167,405000,397000,414000,439000,450000,474900,465000,459900,425000,423500,430000,417000,433358.3333,428900,415000,430000,440000,470000,480000,475000,467750,442500,440000,447000,450000,448845.8333,450000,445000,475000,499000,485000,505000,515000,525000,518000,500000,503000,509900,494158.3333,499000,510000,530000,555000,578000,605000,590000,585000,553000,550000,570000,565000,557500,550000,549450,591000,625000,645000,675000,649967,630000,600000,589000,600000,570000,606201.4167,560000,550000,601000,627500,650000,680000,680000,662525
