,Year,State,House Cost
0,2008,AL,137250.036361
1,2008,AR,114877.18181166667
2,2008,AZ,201922.81817142857
3,2008,CA,336043.1818111111
4,2008,CO,230399.3522875
5,2008,CT,269690.0
6,2008,DE,210382.95455
7,2008,FL,191100.05928260868
8,2008,GA,135955.6039035714
9,2008,HI,395057.27273333335
10,2008,IA,133111.36364999998
11,2008,ID,155434.90906666665
12,2008,IL,109965.42207928572
13,2008,IN,105640.19834999999
14,2008,KS,116103.0
15,2008,KY,121147.94805
16,2008,LA,134191.431825
17,2008,MA,253549.27274000001
18,2008,MD,196141.45453750002
19,2008,ME,161086.03033333333
20,2008,MI,116241.72158875
21,2008,MN,150778.67534285714
22,2008,MO,121736.62337111111
23,2008,MS,129805.2273
24,2008,MT,196231.52275
25,2008,NC,162501.8181665
26,2008,ND,142256.63635000002
27,2008,NE,129142.04545
28,2008,NH,214881.81816666666
29,2008,NJ,253393.18180000002
30,2008,NM,183217.8182
31,2008,NV,253648.40909999996
32,2008,NY,140712.36364642857
33,2008,OH,105116.91735545457
34,2008,OK,100026.81818
35,2008,OR,223785.21213333335
36,2008,PA,140053.10100722223
37,2008,RI,239126.1818
38,2008,SC,161191.02727
39,2008,SD,129680.5455
40,2008,TN,113160.494320625
41,2008,TX,130594.64334846154
42,2008,UT,237227.27273333332
43,2008,VA,212142.2841
44,2008,WA,218314.57575555553
45,2008,WI,143507.16042352942
46,2008,WV,94840.81818
47,2008,WY,169667.45455
48,2009,AL,137360.766667
49,2009,AR,116049.72222666668
50,2009,AZ,180134.9642714286
51,2009,CA,274605.09876296297
52,2009,CO,268239.39814444445
53,2009,CT,248907.75
54,2009,DE,205079.625
55,2009,FL,160446.02173913043
56,2009,GA,132787.26785714284
57,2009,HI,380432.859825
58,2009,IA,129820.8788
59,2009,ID,143441.66666666666
60,2009,IL,118551.92261714286
61,2009,IN,100157.97784923078
62,2009,KS,116554.1667
63,2009,KY,121228.61905714286
64,2009,LA,140320.3541625
65,2009,MA,234418.75
66,2009,MD,189065.833325
67,2009,ME,143922.020825
68,2009,MI,106628.2509782353
69,2009,MN,141231.04761428572
70,2009,MO,121268.46591
71,2009,MS,130341.6667
72,2009,MT,187220.77085
73,2009,NC,158803.416668
74,2009,ND,144089.58335
75,2009,NE,127745.45835
76,2009,NH,188063.125
77,2009,NJ,237196.5625
78,2009,NM,178808.33335
79,2009,NV,196084.84090000004
80,2009,NY,141926.17777066666
81,2009,OH,99753.65639
82,2009,OK,102571.66666599999
83,2009,OR,196091.56944999998
84,2009,PA,137560.20370722222
85,2009,RI,211375.0
86,2009,SC,157401.85833
87,2009,SD,129680.5455
88,2009,TN,113543.61319235293
89,2009,TX,130899.41667461538
90,2009,UT,220055.4583333333
91,2009,VA,201066.20832499999
92,2009,WA,210677.67593333332
93,2009,WI,137628.59804117648
94,2009,WV,89833.33333
95,2009,WY,169919.5
96,2010,AL,135487.333343
97,2010,AR,118584.02779999998
98,2010,AZ,162125.11175
99,2010,CA,267269.9396586207
100,2010,CO,280636.60834
101,2010,CT,258195.25002
102,2010,DE,203927.20835
103,2010,FL,148791.27899260868
104,2010,GA,129218.95001333333
105,2010,HI,377184.3125
106,2010,IA,118771.1647725
107,2010,ID,131297.36113333332
108,2010,IL,112260.28990399999
109,2010,IN,104092.93589461538
110,2010,KS,118070.1667
111,2010,KY,123041.64285714286
112,2010,LA,140192.7291875
113,2010,MA,245230.83333999998
114,2010,MD,183440.10416750002
115,2010,ME,146730.81247499998
116,2010,MI,104835.79670833335
117,2010,MN,134156.90556666665
118,2010,MO,119413.908337
119,2010,MS,122513.9167
120,2010,MT,186467.5
121,2010,NC,150910.4617947826
