,Year,State,Income
0,2008,AL,44480.0
1,2008,AR,39590.0
2,2008,AZ,46910.0
3,2008,CA,57010.0
4,2008,CO,60940.0
5,2008,CT,64680.0
6,2008,DE,50700.0
7,2008,FL,44860.0
8,2008,GA,46230.0
9,2008,HI,61520.0
10,2008,IA,50140.0
11,2008,ID,47420.0
12,2008,IL,53250.0
13,2008,IN,46520.0
14,2008,KS,47880.0
15,2008,KY,41150.0
16,2008,LA,39560.0
17,2008,MA,60320.0
18,2008,MD,63710.0
19,2008,ME,47230.0
20,2008,MI,49790.0
21,2008,MN,54930.0
22,2008,MO,46040.0
23,2008,MS,36450.0
24,2008,MT,42900.0
25,2008,NC,42930.0
26,2008,ND,49630.0
27,2008,NE,50730.0
28,2008,NH,66180.0
29,2008,NJ,65310.0
30,2008,NM,42100.0
31,2008,NV,54740.0
32,2008,NY,50460.0
33,2008,OH,46930.0
34,2008,OK,46110.0
35,2008,OR,51730.0
36,2008,PA,51400.0
37,2008,RI,53240.0
38,2008,SC,42160.0
39,2008,SD,51600.0
40,2008,TN,39700.0
41,2008,TX,46490.0
42,2008,UT,62540.0
43,2008,VA,61990.0
44,2008,WA,56630.0
45,2008,WI,51200.0
46,2008,WV,37990.0
47,2008,WY,53340.0
48,2009,AL,39980.0
49,2009,AR,36540.0
50,2009,AZ,45740.0
51,2009,CA,56130.0
52,2009,CO,55930.0
53,2009,CT,64850.0
54,2009,DE,52110.0
55,2009,FL,45630.0
56,2009,GA,43340.0
57,2009,HI,55650.0
58,2009,IA,50720.0
59,2009,ID,46780.0
60,2009,IL,52870.0
61,2009,IN,44310.0
62,2009,KS,44720.0
63,2009,KY,42660.0
64,2009,LA,45430.0
65,2009,MA,59370.0
66,2009,MD,64190.0
67,2009,ME,47500.0
68,2009,MI,45990.0
69,2009,MN,56090.0
70,2009,MO,48770.0
71,2009,MS,35080.0
72,2009,MT,40440.0
73,2009,NC,41910.0
74,2009,ND,50080.0
75,2009,NE,49600.0
76,2009,NH,64130.0
77,2009,NJ,64780.0
78,2009,NM,43540.0
79,2009,NV,51430.0
80,2009,NY,50220.0
81,2009,OH,45880.0
82,2009,OK,45880.0
83,2009,OR,49100.0
84,2009,PA,48170.0
85,2009,RI,51630.0
86,2009,SC,41100.0
87,2009,SD,45830.0
88,2009,TN,40520.0
89,2009,TX,47480.0
90,2009,UT,58490.0
91,2009,VA,60500.0
92,2009,WA,60390.0
93,2009,WI,51240.0
94,2009,WV,40490.0
95,2009,WY,52470.0
96,2010,AL,40930.0
97,2010,AR,38590.0
98,2010,AZ,46900.0
99,2010,CA,54280.0
100,2010,CO,60230.0
101,2010,CT,66000.0
102,2010,DE,55210.0
103,2010,FL,44070.0
104,2010,GA,44120.0
105,2010,HI,59540.0
106,2010,IA,49020.0
107,2010,ID,47050.0
108,2010,IL,50730.0
109,2010,IN,46140.0
110,2010,KS,46050.0
111,2010,KY,41100.0
