,Year,State,State_Minimum_Wage
0,1990,AL,3.35
1,1990,AR,3.25
2,1990,AZ,3.35
3,1990,CA,3.35
4,1990,CO,3.0
5,1990,CT,3.75
6,1990,DE,3.35
7,1990,FL,3.35
8,1990,GA,3.25
9,1990,HI,3.85
10,1990,IA,3.35
11,1990,ID,2.3
12,1990,IL,3.35
13,1990,IN,2.0
14,1990,KS,1.6
15,1990,KY,3.35
16,1990,LA,3.35
17,1990,MA,3.65
18,1990,MD,3.35
19,1990,ME,3.65
20,1990,MI,3.35
21,1990,MN,3.55
22,1990,MO,3.35
23,1990,MS,3.35
24,1990,MT,3.35
25,1990,NC,3.35
26,1990,ND,2.8
27,1990,NE,3.35
28,1990,NH,3.55
29,1990,NJ,3.35
30,1990,NM,3.35
31,1990,NV,3.35
32,1990,NY,3.35
33,1990,OH,2.3
34,1990,OK,3.35
35,1990,OR,3.35
36,1990,PA,3.35
37,1990,RI,3.65
38,1990,SC,3.35
39,1990,SD,2.8
40,1990,TN,3.35
41,1990,TX,3.35
42,1990,UT,2.5
43,1990,VA,2.65
44,1990,WA,2.3
45,1990,WI,3.35
46,1990,WV,3.35
47,1990,WY,1.6
48,1991,AL,3.8
49,1991,AR,3.35
50,1991,AZ,3.8
51,1991,CA,4.25
52,1991,CO,3.0
53,1991,CT,4.25
54,1991,DE,3.8
55,1991,FL,3.8
56,1991,GA,3.25
57,1991,HI,3.85
58,1991,IA,4.25
59,1991,ID,3.8
60,1991,IL,3.8
61,1991,IN,3.35
62,1991,KS,2.65
63,1991,KY,3.8
64,1991,LA,3.8
65,1991,MA,3.75
66,1991,MD,3.8
67,1991,ME,3.85
68,1991,MI,3.35
69,1991,MN,4.25
70,1991,MO,3.8
71,1991,MS,3.8
72,1991,MT,3.8
73,1991,NC,3.35
74,1991,ND,3.4
75,1991,NE,3.35
76,1991,NH,3.85
77,1991,NJ,3.8
78,1991,NM,3.35
79,1991,NV,3.8
80,1991,NY,3.8
81,1991,OH,3.8
82,1991,OK,3.8
83,1991,OR,4.75
84,1991,PA,3.8
85,1991,RI,4.25
86,1991,SC,3.8
87,1991,SD,3.8
88,1991,TN,3.8
89,1991,TX,3.35
90,1991,UT,3.8
91,1991,VA,2.65
92,1991,WA,4.25
93,1991,WI,3.8
94,1991,WV,3.35
95,1991,WY,1.6
96,1992,AL,4.25
97,1992,AR,3.65
98,1992,AZ,4.25
99,1992,CA,4.25
100,1992,CO,3.0
101,1992,CT,4.27
102,1992,DE,4.25
103,1992,FL,4.25
