,Year,State,State_Minimum_Wage
0,2008,AL,5.85
1,2008,AR,6.25
2,2008,AZ,6.9
3,2008,CA,8.0
4,2008,CO,7.02
5,2008,CT,7.65
6,2008,DE,7.15
7,2008,FL,6.79
8,2008,GA,5.15
9,2008,HI,7.25
10,2008,IA,7.25
11,2008,ID,5.85
12,2008,IL,7.75
13,2008,IN,5.85
14,2008,KS,2.65
15,2008,KY,5.85
16,2008,LA,5.85
17,2008,MA,8.0
18,2008,MD,6.15
19,2008,ME,7.0
20,2008,MI,7.15
21,2008,MN,5.25
22,2008,MO,6.65
23,2008,MS,5.85
24,2008,MT,4.0
25,2008,NC,6.15
26,2008,ND,5.85
27,2008,NE,5.85
28,2008,NH,6.5
29,2008,NJ,7.15
30,2008,NM,6.5
31,2008,NV,6.33
32,2008,NY,7.15
33,2008,OH,7.0
34,2008,OK,2.0
35,2008,OR,7.95
36,2008,PA,7.15
37,2008,RI,7.4
38,2008,SC,5.85
39,2008,SD,5.85
40,2008,TN,5.85
41,2008,TX,5.85
42,2008,UT,5.85
43,2008,VA,5.85
44,2008,WA,8.07
45,2008,WI,6.5
46,2008,WV,6.55
47,2008,WY,5.15
48,2009,AL,6.55
49,2009,AR,6.25
50,2009,AZ,7.25
51,2009,CA,8.0
52,2009,CO,7.28
53,2009,CT,8.0
54,2009,DE,7.15
55,2009,FL,7.21
56,2009,GA,5.15
57,2009,HI,7.25
58,2009,IA,7.25
59,2009,ID,6.55
60,2009,IL,8.0
61,2009,IN,6.55
62,2009,KS,2.65
63,2009,KY,6.55
64,2009,LA,6.55
65,2009,MA,8.0
66,2009,MD,6.55
67,2009,ME,7.25
68,2009,MI,7.4
69,2009,MN,5.25
70,2009,MO,7.05
71,2009,MS,6.55
72,2009,MT,4.0
73,2009,NC,6.55
74,2009,ND,6.55
75,2009,NE,6.55
76,2009,NH,7.25
77,2009,NJ,7.15
78,2009,NM,7.5
79,2009,NV,6.55
80,2009,NY,7.15
81,2009,OH,7.3
82,2009,OK,2.0
83,2009,OR,8.4
84,2009,PA,7.15
85,2009,RI,7.4
86,2009,SC,6.55
87,2009,SD,6.55
88,2009,TN,6.55
89,2009,TX,6.55
90,2009,UT,6.55
91,2009,VA,6.55
92,2009,WA,8.55
93,2009,WI,6.5
94,2009,WV,7.25
95,2009,WY,5.15
96,2010,AL,7.25
97,2010,AR,6.25
98,2010,AZ,7.25
99,2010,CA,8.0
100,2010,CO,7.24
101,2010,CT,8.25
102,2010,DE,7.25
103,2010,FL,7.25
104,2010,GA,5.15
105,2010,HI,7.25
106,2010,IA,7.25
107,2010,ID,7.25
108,2010,IL,8.25
109,2010,IN,7.25
110,2010,KS,7.25
111,2010,KY,7.25
112,2010,LA,7.25
113,2010,MA,8.0
114,2010,MD,7.25
115,2010,ME,7.5
116,2010,MI,7.4
117,2010,MN,5.25
118,2010,MO,7.25
119,2010,MS,7.25
120,2010,MT,4.0
121,2010,NC,7.25
122,2010,ND,7.25
123,2010,NE,7.25
124,2010,NH,7.25
125,2010,NJ,7.25
126,2010,NM,7.5
127,2010,NV,6.55
128,2010,NY,7.25
129,2010,OH,7.3
130,2010,OK,2.0
131,2010,OR,8.4
132,2010,PA,7.25
133,2010,RI,7.4
134,2010,SC,7.25
135,2010,SD,7.25
136,2010,TN,7.25
137,2010,TX,7.25
138,2010,UT,7.25
139,2010,VA,7.25
140,2010,WA,8.55
141,2010,WI,7.25
142,2010,WV,7.25
143,2010,WY,5.15
144,2011,AL,7.25
145,2011,AR,6.25
146,2011,AZ,7.35
147,2011,CA,8.0
148,2011,CO,7.36
149,2011,CT,8.25
150,2011,DE,7.25
151,2011,FL,7.25
152,2011,GA,5.15
153,2011,HI,7.25
154,2011,IA,7.25
155,2011,ID,7.25
156,2011,IL,8.25
157,2011,IN,7.25
158,2011,KS,7.25
159,2011,KY,7.25
160,2011,LA,7.25
161,2011,MA,8.0
162,2011,MD,7.25
163,2011,ME,7.5
164,2011,MI,7.4
165,2011,MN,5.25
166,2011,MO,7.25
167,2011,MS,7.25
168,2011,MT,4.0
169,2011,NC,7.25
170,2011,ND,7.25
171,2011,NE,7.25
172,2011,NH,7.25
173,2011,NJ,7.25
174,2011,NM,7.5
175,2011,NV,7.25
176,2011,NY,7.25
177,2011,OH,7.4
178,2011,OK,2.0
179,2011,OR,8.5
180,2011,PA,7.25
181,2011,RI,7.4
182,2011,SC,7.25
183,2011,SD,7.25
184,2011,TN,7.25
185,2011,TX,7.25
186,2011,UT,7.25
187,2011,VA,7.25
188,2011,WA,8.67
189,2011,WI,7.25
190,2011,WV,7.25
191,2011,WY,5.15
192,2012,AL,7.25
193,2012,AR,6.25
194,2012,AZ,7.65
195,2012,CA,8.0
196,2012,CO,7.64
197,2012,CT,8.25
198,2012,DE,7.25
199,2012,FL,7.67
200,2012,GA,5.15
201,2012,HI,7.25
202,2012,IA,7.25
203,2012,ID,7.25
204,2012,IL,8.25
205,2012,IN,7.25
206,2012,KS,7.25
207,2012,KY,7.25
208,2012,LA,7.25
209,2012,MA,8.0
210,2012,MD,7.25
211,2012,ME,7.5
212,2012,MI,7.4
213,2012,MN,5.25
214,2012,MO,7.25
215,2012,MS,7.25
216,2012,MT,4.0
217,2012,NC,7.25
218,2012,ND,7.25
219,2012,NE,7.25
220,2012,NH,7.25
221,2012,NJ,7.25
222,2012,NM,7.5
223,2012,NV,7.25
224,2012,NY,7.25
225,2012,OH,7.7
226,2012,OK,2.0
227,2012,OR,8.8
228,2012,PA,7.25
229,2012,RI,7.4
230,2012,SC,7.25
231,2012,SD,7.25
232,2012,TN,7.25
233,2012,TX,7.25
234,2012,UT,7.25
235,2012,VA,7.25
236,2012,WA,9.04
237,2012,WI,7.25
238,2012,WV,7.25
239,2012,WY,5.15
240,2013,AL,7.25
241,2013,AR,6.25
242,2013,AZ,7.8
243,2013,CA,8.0
244,2013,CO,7.78
245,2013,CT,8.25
246,2013,DE,7.25
247,2013,FL,7.79
248,2013,GA,5.15
249,2013,HI,7.25
250,2013,IA,7.25
251,2013,ID,7.25
252,2013,IL,8.25
253,2013,IN,7.25
254,2013,KS,7.25
255,2013,KY,7.25
256,2013,LA,7.25
257,2013,MA,8.0
258,2013,MD,7.25
259,2013,ME,7.5
260,2013,MI,7.4
261,2013,MN,5.25
262,2013,MO,7.35
263,2013,MS,7.25
264,2013,MT,4.0
265,2013,NC,7.25
266,2013,ND,7.25
267,2013,NE,7.25
268,2013,NH,7.25
269,2013,NJ,7.25
270,2013,NM,7.5
271,2013,NV,7.25
272,2013,NY,7.25
273,2013,OH,7.85
274,2013,OK,2.0
275,2013,OR,8.95
276,2013,PA,7.25
277,2013,RI,7.75
278,2013,SC,7.25
279,2013,SD,7.25
280,2013,TN,7.25
281,2013,TX,7.25
282,2013,UT,7.25
283,2013,VA,7.25
284,2013,WA,9.19
285,2013,WI,7.25
286,2013,WV,7.25
287,2013,WY,5.15
288,2014,AL,7.25
289,2014,AR,6.25
290,2014,AZ,7.9
291,2014,CA,9.0
292,2014,CO,8.0
293,2014,CT,8.7
294,2014,DE,7.75
295,2014,FL,7.93
296,2014,GA,5.15
297,2014,HI,7.25
298,2014,IA,7.25
299,2014,ID,7.25
300,2014,IL,8.25
301,2014,IN,7.25
302,2014,KS,7.25
303,2014,KY,7.25
304,2014,LA,7.25
305,2014,MA,8.0
306,2014,MD,7.25
307,2014,ME,7.5
308,2014,MI,8.15
309,2014,MN,6.5
310,2014,MO,7.5
311,2014,MS,7.25
312,2014,MT,7.9
313,2014,NC,7.25
314,2014,ND,7.25
315,2014,NE,7.25
316,2014,NH,7.25
317,2014,NJ,8.25
318,2014,NM,7.5
319,2014,NV,7.25
320,2014,NY,8.0
321,2014,OH,7.25
322,2014,OK,2.0
323,2014,OR,9.1
324,2014,PA,7.25
325,2014,RI,8.0
326,2014,SC,7.25
327,2014,SD,7.25
328,2014,TN,7.25
329,2014,TX,7.25
330,2014,UT,7.25
331,2014,VA,7.25
332,2014,WA,9.32
333,2014,WI,7.25
334,2014,WV,7.25
335,2014,WY,5.15
336,2015,AL,7.25
337,2015,AR,7.5
338,2015,AZ,8.05
339,2015,CA,9.0
340,2015,CO,8.23
341,2015,CT,9.15
342,2015,DE,8.25
343,2015,FL,8.05
344,2015,GA,5.15
345,2015,HI,7.75
346,2015,IA,7.25
347,2015,ID,7.25
348,2015,IL,8.25
349,2015,IN,7.25
350,2015,KS,7.25
351,2015,KY,7.25
352,2015,LA,7.25
353,2015,MA,9.0
354,2015,MD,8.25
355,2015,ME,7.5
356,2015,MI,8.15
357,2015,MN,7.25
358,2015,MO,7.65
359,2015,MS,7.25
360,2015,MT,8.05
361,2015,NC,7.25
362,2015,ND,7.25
363,2015,NE,8.0
364,2015,NH,7.25
365,2015,NJ,8.38
366,2015,NM,7.5
367,2015,NV,7.25
368,2015,NY,8.75
369,2015,OH,7.25
370,2015,OK,2.0
371,2015,OR,9.25
372,2015,PA,7.25
373,2015,RI,9.0
374,2015,SC,7.25
375,2015,SD,8.5
376,2015,TN,7.25
377,2015,TX,7.25
378,2015,UT,7.25
379,2015,VA,7.25
380,2015,WA,9.47
381,2015,WI,7.25
382,2015,WV,8.0
383,2015,WY,5.15
384,2016,AL,7.25
385,2016,AR,8.0
386,2016,AZ,8.05
387,2016,CA,10.0
388,2016,CO,8.31
389,2016,CT,9.6
390,2016,DE,8.25
391,2016,FL,8.05
392,2016,GA,5.15
393,2016,HI,8.5
394,2016,IA,7.25
395,2016,ID,7.25
396,2016,IL,8.25
397,2016,IN,7.25
398,2016,KS,7.25
399,2016,KY,7.25
400,2016,LA,7.25
401,2016,MA,10.0
402,2016,MD,8.75
403,2016,ME,7.5
404,2016,MI,8.5
405,2016,MN,7.25
406,2016,MO,7.65
407,2016,MS,7.25
408,2016,MT,8.05
409,2016,NC,7.25
410,2016,ND,7.25
411,2016,NE,9.0
412,2016,NH,7.25
413,2016,NJ,8.38
414,2016,NM,7.5
415,2016,NV,7.25
416,2016,NY,9.0
417,2016,OH,7.25
418,2016,OK,2.0
419,2016,OR,9.75
420,2016,PA,7.25
421,2016,RI,9.6
422,2016,SC,7.25
423,2016,SD,8.55
424,2016,TN,7.25
425,2016,TX,7.25
426,2016,UT,7.25
427,2016,VA,7.25
428,2016,WA,9.47
429,2016,WI,7.25
430,2016,WV,8.75
431,2016,WY,5.15
432,2017,AL,7.25
433,2017,AR,8.5
434,2017,AZ,10.0
435,2017,CA,10.0
436,2017,CO,9.3
437,2017,CT,10.1
438,2017,DE,8.25
439,2017,FL,8.1
440,2017,GA,5.15
441,2017,HI,9.25
442,2017,IA,7.25
443,2017,ID,7.25
